language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.74  T=10.80 s (6.8 files/s, 433.1 lines/s)"
Clojure,../code-maat/src/code_maat/app/app.clj,25,26,185
Clojure,../code-maat/test/code_maat/parsers/tfs_test.clj,48,4,182
Markdown,../code-maat/README.md,111,0,174
Clojure,../code-maat/src/code_maat/analysis/churn.clj,24,14,167
Clojure,../code-maat/test/code_maat/end_to_end/scenario_tests.clj,29,20,148
Clojure,../code-maat/test/code_maat/parsers/git_test.clj,16,8,140
Clojure,../code-maat/src/code_maat/parsers/hiccup_based_parser.clj,19,29,115
Clojure,../code-maat/test/code_maat/parsers/git2_test.clj,12,4,113
Clojure,../code-maat/src/code_maat/app/grouper.clj,20,12,105
Clojure,../code-maat/test/code_maat/app/grouper_test.clj,25,6,101
Clojure,../code-maat/test/code_maat/analysis/churn_test.clj,25,8,92
Clojure,../code-maat/src/code_maat/analysis/effort.clj,12,14,83
Clojure,../code-maat/src/code_maat/analysis/coupling_algos.clj,13,6,81
Clojure,../code-maat/test/code_maat/parsers/svn_test.clj,7,5,78
Clojure,../code-maat/src/code_maat/analysis/communication.clj,13,20,69
Clojure,../code-maat/src/code_maat/cmd_line.clj,6,4,65
Clojure,../code-maat/test/code_maat/parsers/perforce_test.clj,10,8,63
Clojure,../code-maat/src/code_maat/parsers/tfs.clj,10,36,63
Clojure,../code-maat/src/code_maat/analysis/authors.clj,10,11,53
Clojure,../code-maat/src/code_maat/parsers/git2.clj,9,23,52
Clojure,../code-maat/src/code_maat/parsers/svn.clj,10,11,51
Clojure,../code-maat/src/code_maat/parsers/git.clj,8,18,49
Clojure,../code-maat/test/code_maat/end_to_end/git2_live_data_test_with_group.clj,6,4,48
Clojure,../code-maat/src/code_maat/analysis/code_age.clj,12,15,48
Clojure,../code-maat/test/code_maat/analysis/effort_test.clj,10,4,48
Clojure,../code-maat/src/code_maat/analysis/commit_messages.clj,10,15,47
Clojure,../code-maat/src/code_maat/parsers/perforce.clj,7,18,46
Clojure,../code-maat/src/code_maat/analysis/sum_of_coupling.clj,7,15,42
Clojure,../code-maat/src/code_maat/analysis/logical_coupling.clj,5,14,39
Clojure,../code-maat/test/code_maat/analysis/coupling_algos_test.clj,11,4,37
Clojure,../code-maat/src/code_maat/analysis/entities.clj,8,4,36
Clojure,../code-maat/test/code_maat/analysis/code_age_test.clj,8,6,36
Clojure,../code-maat/src/code_maat/parsers/mercurial.clj,7,21,35
Clojure,../code-maat/src/code_maat/dataset/dataset.clj,10,13,35
Clojure,../code-maat/src/code_maat/parsers/limitters.clj,6,8,34
Clojure,../code-maat/test/code_maat/end_to_end/churn_scenario_test.clj,7,2,33
Clojure,../code-maat/test/code_maat/analysis/logical_coupling_test.clj,9,5,33
Clojure,../code-maat/test/code_maat/app/team_mapper_test.clj,3,2,31
XML,../code-maat/test/code_maat/end_to_end/simple.xml,0,0,31
Clojure,../code-maat/test/code_maat/app/time_based_grouper_test.clj,9,8,27
Clojure,../code-maat/test/code_maat/analysis/authors_test.clj,7,4,26
Clojure,../code-maat/test/code_maat/parsers/mercurial_test.clj,7,4,25
Clojure,../code-maat/test/code_maat/dataset/dataset_test.clj,5,4,25
Clojure,../code-maat/src/code_maat/test/data_driven.clj,4,4,23
Clojure,../code-maat/test/code_maat/analysis/test_data.clj,6,5,21
Clojure,../code-maat/src/code_maat/app/team_mapper.clj,4,0,21
Clojure,../code-maat/test/code_maat/analysis/entities_test.clj,4,4,21
Clojure,../code-maat/test/code_maat/end_to_end/team_level_analyses_test.clj,4,4,20
Clojure,../code-maat/src/code_maat/app/time_based_grouper.clj,6,14,20
Clojure,../code-maat/test/code_maat/analysis/communication_test.clj,4,4,20
Clojure,../code-maat/src/code_maat/output/csv.clj,4,5,20
Clojure,../code-maat/src/code_maat/analysis/summary.clj,4,6,18
Clojure,../code-maat/test/code_maat/analysis/commit_messages_test.clj,4,4,18
Clojure,../code-maat/test/code_maat/analysis/sum_of_coupling_test.clj,4,4,17
Clojure,../code-maat/src/code_maat/parsers/time_parser.clj,4,4,17
Clojure,../code-maat/project.clj,1,4,17
Clojure,../code-maat/test/code_maat/tools/test_tools.clj,3,4,16
Clojure,../code-maat/test/code_maat/end_to_end/svn_live_data_test.clj,3,4,14
Clojure,../code-maat/test/code_maat/end_to_end/tfs_live_data_test.clj,3,4,11
Clojure,../code-maat/test/code_maat/end_to_end/perforce_live_data_test.clj,3,4,11
Clojure,../code-maat/test/code_maat/end_to_end/mercurial_live_data_test.clj,3,4,11
Clojure,../code-maat/src/code_maat/analysis/math.clj,4,4,11
Clojure,../code-maat/test/code_maat/end_to_end/git_live_data_test.clj,3,4,11
Clojure,../code-maat/test/code_maat/end_to_end/git2_live_data_test.clj,3,4,11
Clojure,../code-maat/src/code_maat/parsers/xml.clj,3,4,10
Clojure,../code-maat/test/code_maat/app/cmd_line_test.clj,3,0,9
Clojure,../code-maat/test/code_maat/analysis/math_test.clj,2,4,9
Clojure,../code-maat/test/code_maat/parsers/time_parser_test.clj,2,4,8
Clojure,../code-maat/src/code_maat/analysis/workarounds.clj,2,4,7
Clojure,../code-maat/src/code_maat/output/filters.clj,2,4,5
XML,../code-maat/test/code_maat/end_to_end/empty.xml,0,0,3
YAML,../code-maat/.travis.yml,1,0,3
Markdown,../code-maat/doc/intro.md,1,0,2
